DATE,LMO_Detailed_Industry,Employment
1997-01-01,Accommodation services,24000
1997-01-01,Air transportation,17000
1997-01-01,Ambulatory health care services,40000
1997-01-01,"Amusement, gambling and recreation industries",20000
1997-01-01,"Architectural, engineering and related services",27000
1997-01-01,"Broadcasting, data processing, and information",4750
1997-01-01,"Business, building and other support services",58500
1997-01-01,Community colleges,9000
1997-01-01,Computer systems design and related services,18250
1997-01-01,Construction,118000
1997-01-01,Elementary and secondary schools,78250
1997-01-01,Fabricated metal product manufacturing,11750
1997-01-01,Farms,13500
1997-01-01,Federal government public administration,34750
1997-01-01,Finance,44000
1997-01-01,"Fishing, hunting and trapping",4750
1997-01-01,Food services and drinking places,105250
1997-01-01,"Food, beverage and tobacco manufacturing",2500
1997-01-01,Forestry and logging,20000
1997-01-01,Health and personal care stores,14250
1997-01-01,Heritage institutions,3500
1997-01-01,Hospitals,62000
1997-01-01,Insurance carriers and related activities,22500
1997-01-01,"Legal, accounting, design, research, and advertising services",18750
1997-01-01,Local and Indigenous public administration,500
1997-01-01,Machinery manufacturing,6250
1997-01-01,"Management, scientific and technical consulting services",16250
1997-01-01,Mining,11250
1997-01-01,Motion picture and sound recording industries,6250
1997-01-01,Motor vehicle and parts dealers,26250
1997-01-01,Nursing and residential care facilities,27250
1997-01-01,Oil and gas extraction,1750
1997-01-01,Other manufacturing,2000
1997-01-01,Other retail trade (excluding cars and personal care) ,16000
1997-01-01,Paper manufacturing,21250
1997-01-01,"Performing arts, spectator sports and related industries",15250
1997-01-01,"Postal service, couriers and messengers",8250
1997-01-01,Primary metal manufacturing,11500
1997-01-01,Private and trades education,2500
1997-01-01,Provincial and territorial public administration,36500
1997-01-01,Publishing industries,7250
1997-01-01,Rail transportation,7000
1997-01-01,Real estate rental and leasing,50750
1997-01-01,"Repair, personal and non-profit services",89250
1997-01-01,Ship and boat building,3500
1997-01-01,Social assistance,54000
1997-01-01,Support activities for agriculture and forestry,12000
1997-01-01,Support activities for mining and oil and gas extraction,2250
1997-01-01,Support activities for transportation,11750
1997-01-01,Telecommunications,16750
1997-01-01,"Transit, sightseeing, and pipeline transportation",0
1997-01-01,Transportation equipment manufacturing (excluding shipbuilding),2000
1997-01-01,Truck transportation,27750
1997-01-01,Universities,16500
1997-01-01,Utilities,9750
1997-01-01,Warehousing and storage,6750
1997-01-01,Water transportation,8500
1997-01-01,Wholesale trade,72000
1997-01-01,Wood product manufacturing,48000
1997-02-01,Accommodation services,24250
1997-02-01,Air transportation,15500
1997-02-01,Ambulatory health care services,40500
1997-02-01,"Amusement, gambling and recreation industries",19500
1997-02-01,"Architectural, engineering and related services",27750
1997-02-01,"Broadcasting, data processing, and information",5000
1997-02-01,"Business, building and other support services",60250
1997-02-01,Community colleges,10500
1997-02-01,Computer systems design and related services,16750
1997-02-01,Construction,120000
1997-02-01,Elementary and secondary schools,79500
1997-02-01,Fabricated metal product manufacturing,11250
1997-02-01,Farms,14000
1997-02-01,Federal government public administration,32250
1997-02-01,Finance,45750
1997-02-01,"Fishing, hunting and trapping",4500
1997-02-01,Food services and drinking places,107750
1997-02-01,"Food, beverage and tobacco manufacturing",3750
1997-02-01,Forestry and logging,22500
1997-02-01,Health and personal care stores,13250
1997-02-01,Heritage institutions,2000
1997-02-01,Hospitals,61750
1997-02-01,Insurance carriers and related activities,23750
